Source,Target
CAG,Andrew Ross_48
CAG,Bradley Alford_59
CAG,Thomas Brown_60
CAG,Stephen Butler_68
CAG,Richard Lenny_64
CAG,Ruth Marshall_61
CAG,Andrew Schindler_71
CXO,William Easter_66
CXO,John Surma_61
COP,Charles Bunch_66
COP,James Copeland_71
COP,John Faraci_66
COP,Robert Niblock_53
ED,Vincent Calarco_73
ED,Armando Olivera_66
ED,Linda Sanford_63
STZ,Frederic Cumenal_56
STZ,Daniel McCarthy_51
STZ,Keith Wandell_66
GLW,Wendell Weeks_56
GLW,Richard Clark_69
GLW,Stephanie Burns_61
GLW,John Canning_72
GLW,Deborah Henretta_54
GLW,Daniel Huttenlocher_57
GLW,Hansel Tookes_68
COST,John Stanton_60
COST,Mary Wilderotter_61
COTY,Robert Singer_64
CCI,J. Landis Martin_70
CCI,Cindy Christy_50
CSX,Michael Ward_65
CSX,Ellen Fitzsimmons_55
CSX,Pamela Carter_66
CSX,Edward Kelly_63
CSX,David Moffett_64
CSX,David Ratcliffe_68
CSX,Donald Shepard_69
CSX,J. Steven Whisler_61
CMI,Norman Linebarger_53
CMI,Patrick Ward_52
CMI,Alexis Herman_68
CMI,Thomas Lynch_61
CMI,Georgia Nelson_66
CVS,David Dorman_62
CVS,David Denton_50
CVS,Helena Foulkes_51
CVS,Nancy-Ann DeParle_59
CVS,Richard Swift_71
CVS,William Weldon_67
CVS,Tony White_69
DHR,Mitchell Rales_59
DHR,Teri List-Stoll_53
DHR,Alan Spoon_64
DRI,Eugene Lee_54
DRI,Cynthia Jamison_56
DRI,Lionel Nowell_61
DVA,Pamela Arway_62
DVA,Carol Davidson_60
DVA,Barbara Desoer_63
DVA,William Roper_67
DE,Samuel Allen_62
DE,Crandall Bowles_68
DE,Vance Coffman_72
DE,Dipak Jain_59
DE,Clayton Jones_66
DE,Brian Krzanich_55
DE,Gregory Page_64
DLPH,Rajiv Gupta_70
DLPH,Nicholas Donofrio_70
DLPH,Sean Mahoney_53
DAL,Francis Blake_67
DAL,Daniel Carp_67
DAL,William Easter_66
DAL,Paula Reynolds_59
DAL,Kathy Waller_57
XRAY,Eric Brandt_53
XRAY,Willie Deese_60
DLR,Kevin Kennedy_60
DFS,Roger Hochschild_50
DFS,Mary Bush_68
DFS,Gregory Case_53
DFS,Richard Lenny_64
DISCA,David Zaslav_56
DISCA,Andrew Warren_49
DISCA,Jean-Briac Perrette_45
DISCA,Adria Alpert-Romm_61
DISCA,Kurt Wehner_53
DISCA,David Leavy_46
DISCA,Bruce Campbell_48
DISCA,Paul Guagliardo_54
DISCA,S. Decker Anstrom_65
DISCA,Robert Beck_75
DISCA,Robert Bennett_58
DISCA,Paul Gould_70
DISCA,John Malone_75
DISCA,Robert Miron_78
DISCA,Steven Miron_49
DISCA,M. LaVoy Robison_80
DISCA,J. David Wargo_62
DISCK,David Zaslav_56
DISCK,Andrew Warren_49
DISCK,Jean-Briac Perrette_45
DISCK,Adria Alpert-Romm_61
DISCK,Kurt Wehner_53
DISCK,David Leavy_46
DISCK,Bruce Campbell_48
DISCK,Paul Guagliardo_54
DISCK,S. Decker Anstrom_65
DISCK,Robert Beck_75
DISCK,Robert Bennett_58
DISCK,Paul Gould_70
DISCK,John Malone_75
DISCK,Robert Miron_78
DISCK,Steven Miron_49
DISCK,M. LaVoy Robison_80
DISCK,J. David Wargo_62
DG,Sandra Cochran_57
DG,Paula Price_54
DG,William Rhodes_50
DG,David Rickard_69
DLTR,Mary Citrino_57
D,Thomas Farrell_61
D,William Barr_66
D,James Ellis_68
DOV,Michael Johnston_68
DOV,Keith Wandell_66
DOW,Andrew Liveris_61
DOW,Joe Harlan_56
DOW,Jeff Fettig_59
DOW,Ajaypal Banga_56
DOW,James Bell_67
DOW,Richard Davis_58
DOW,Raymond Milchovich_66
DOW,Robert Miller_74
DOW,Dennis Reilley_63
DOW,James Ringler_70
DOW,Ruth Shaw_68
DPS,Wayne Sanders_68
DPS,Pamela Patsley_59
DPS,Joyce Roche_69
DTE,Gail McGovern_64
DTE,Ruth Shaw_68
DD,Edward Breen_60
DD,Lamberto Andreotti_65
DD,Alexander Cutler_64
DD,Marillyn Hewson_62
DD,Lois Juliber_67
DD,Patrick Ward_52
DUK,Lynn Good_56
DUK,Lloyd Yates_55
DUK,Michael Angelakis_51
DUK,William Kennard_59
DUK,Charles Moorman_64
DNB,Christopher Coughlin_63
DNB,Cindy Christy_50
DNB,Paul Garcia_63
DNB,Judith Reinsdorf_52
ETFC,Rodger Lawson_69
ETFC,Kevin Kabat_59
EMN,Stephen Crawford_51
EMN,Brett Begemann_55
EMN,James O'Brien_61
ETN,Craig Arnold_55
ETN,Christopher Connor_59
ETN,Linda Hill_59
ETN,Gregory Page_64
ETN,Sandra Pianalto_61
