Source,Target
DOW,James Bell_67,1
DOW,Richard Davis_58,1
DOW,Raymond Milchovich_66,1
DOW,Robert Miller_74,1
DOW,Dennis Reilley_63,1
DOW,James Ringler_70,1
DOW,Ruth Shaw_68,1
DPS,Wayne Sanders_68,1
DPS,Pamela Patsley_59,1
DPS,Joyce Roche_69,1
DTE,Gail McGovern_64,1
DTE,Ruth Shaw_68,1
DD,Edward Breen_60,1
DD,Lamberto Andreotti_65,1
DD,Alexander Cutler_64,1
DD,Marillyn Hewson_62,1
DD,Lois Juliber_67,1
DD,Patrick Ward_52,1
DUK,Lynn Good_56,1
DUK,Lloyd Yates_55,1
DUK,Michael Angelakis_51,1
DUK,William Kennard_59,1
DUK,Charles Moorman_64,1
DNB,Christopher Coughlin_63,1
DNB,Cindy Christy_50,1
DNB,Paul Garcia_63,1
DNB,Judith Reinsdorf_52,1
ETFC,Rodger Lawson_69,1
ETFC,Kevin Kabat_59,1
EMN,Stephen Crawford_51,1
EMN,Brett Begemann_55,1
EMN,James O'Brien_61,1
ETN,Craig Arnold_55,1
ETN,Christopher Connor_59,1
ETN,Linda Hill_59,1
ETN,Gregory Page_64,1
ETN,Sandra Pianalto_61,1
EBAY,Robert Swan_56,1
EBAY,Edward Barnholt_72,1
EBAY,Pierre Omidyar_48,1
EBAY,Perry Traquina_60,1
ECL,Douglas Baker_57,1
ECL,Thomas Handley_61,1
ECL,Stephen Chazen_69,1
ECL,Jeffrey Ettinger_57,1
ECL,Arthur Higgins_60,1
ECL,Michael Larson_56,1
ECL,Victoria Reich_58,1
ECL,Suzanne Vautrinot_56,1
ECL,John Zillmer_60,1
EIX,Vanessa Chang_63,1
EW,Steven Loranger_64,1
EA,Leonard Coleman_67,1
EA,Jay Hoag_58,1
EMR,David Farr_61,1
EMR,Edward Monser_65,1
EMR,William Johnson_67,1
EMR,Candace Kendle_69,1
EMR,Matthew Levatich_51,1
EMR,Joseph Prueher_73,1
EMR,Randall Stephenson_55,1
EMR,James Turley_60,1
ENDP,Roger Kimmel_69,1
ENDP,ARTHUR HIGGINS_60,1
ETR,Theodore Bunting_57,1
ETR,Alexis Herman_68,1
ETR,Stuart Levenick_63,1
EOG,William Thomas_63,1
EOG,Janet Clark_61,1
EOG,Charles Crisp_68,1
EQT,James Rohr_67,1
EFX,James Copeland_71,1
EFX,Robert Daleo_66,1
EFX,Walter Driver_70,1
EFX,Siri Marshall_67,1
EQIX,Stephen Smith_59,1
EQIX,Thomas Bartlett_57,1
EQIX,Nanci Caldwell_58,1
EQIX,Scott Kriens_58,1
EQIX,Irving Lyons_66,1
EQR,David Neithercut_60,1
EQR,Linda Bynoe_63,1
EQR,Mary Haben_60,1
EQR,Mark Shapiro_46,1
EQR,Stephen Sterrett_60,1
ESS,Irving Lyons_66,1
EL,Fabrizio Freda_58,1
EL,Tracey Travis_54,1
EL,Andrew Ross_48,1
EL,Charlene Barshefsky_65,1
EL,Rose Bravo_65,1
EL,Paul Fribourg_,1
EL,Mellody Hobson_47,1
ES,Thomas May_68,1
ES,Charles Gifford_73,1
EXC,Mayo Shattuck_61,1
EXC,Anne Pramaggiore_57,1
EXC,Linda Jojo_50,1
EXC,Anthony Anderson_60,1
EXC,Ann Berzin_63,1
EXC,John Canning_72,1
EXC,John Rogers_58,1
EXC,Stephen Steinour_57,1
EXPE,Barry Diller_74,1
EXPE,John Malone_75,1
